"Run","Run ID","metric","step","timestamp","value"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","1","1778753719436","'-2545.961178896443"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","2","1778753719524","'-4182.072901297888"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","4","1778753719673","'-4284.290130565218"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","5","1778753719772","'-5950.139252485376"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","6","1778753719848","'-6097.109618154707"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","8","1778753719987","'-7787.510502435223"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","9","1778753720194","'-8463.812141447155"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","10","1778753720353","'-10159.71759370113"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","11","1778753720427","'-10161.097136711925"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","12","1778753720522","'-10241.074198474593"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","13","1778753720616","'-10249.97057584028"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","32","1778753722244","'-10407.723500110857"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","33","1778753722321","'-10411.75842445751"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","34","1778753722401","'-10454.919026657868"
"random_duration_destroy+short_task_clusters_destroy+lowest_objective_contribution_destroy__regret_repair","2788f94744b6454789f1ad8c2a69fb38","best_objective","35","1778753722612","'-10480.81237776235"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","1","1778753715387","11945.468466165701"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","2","1778753715463","5708.3475122855225"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","3","1778753715526","5625.074622800303"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","5","1778753715676","'-756.2143656697222"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","6","1778753715744","'-802.4261889501099"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","8","1778753715898","'-4613.389429422332"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","9","1778753715974","'-5616.354295766689"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","10","1778753716056","'-6346.389021354507"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","13","1778753716251","'-7415.768819891959"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","15","1778753716391","'-7654.905217350355"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","16","1778753716459","'-7663.4685967760615"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","18","1778753716604","'-8228.766225744437"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","19","1778753716685","'-9731.289390346969"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","20","1778753716750","'-9753.897975867927"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","21","1778753716851","'-9892.430252342141"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","22","1778753716935","'-9937.768679594268"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","23","1778753717031","'-10747.67706862132"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","24","1778753717115","'-10861.899648467112"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","25","1778753717204","'-10884.46383406637"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","26","1778753717294","'-10956.813477614547"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","27","1778753717372","'-10964.409692364485"
"random_duration_destroy+short_task_clusters_destroy__regret_repair","e3fc2e00b40a4a7d862a6dbeb9937148","best_objective","28","1778753717465","'-10985.642571243567"
